url,title,category,description
https://docs.langchain.com/,Untitled,Docs Home,Documentation page for Untitled.
https://docs.langchain.com/api-reference/agent-connections-v2/create-connection,Create Connection,API Reference,Documentation page for Create Connection.
https://docs.langchain.com/api-reference/agent-connections-v2/list-connections,List Connections,API Reference,Documentation page for List Connections.
https://docs.langchain.com/api-reference/agent-connections-v2/remove-connection,Remove Connection,API Reference,Documentation page for Remove Connection.
https://docs.langchain.com/api-reference/auth-service-v2/authenticate,Authenticate,API Reference,Get OAuth token or start authentication flow if needed.
https://docs.langchain.com/api-reference/auth-service-v2/check-oauth-token-exists,Check Oauth Token Exists,API Reference,Return whether the current user has any tokens for a given provider (across agents).
https://docs.langchain.com/api-reference/auth-service-v2/check-workspace-slack-tokens-exist,Check Workspace Slack Tokens Exist,API Reference,Check if the workspace has any Slack tokens.
https://docs.langchain.com/api-reference/auth-service-v2/create-mcp-oauth-provider,Create Mcp Oauth Provider,API Reference,Create an OAuth provider via MCP auto-discovery.
https://docs.langchain.com/api-reference/auth-service-v2/create-oauth-provider,Create Oauth Provider,API Reference,Create a new OAuth provider manually.
https://docs.langchain.com/api-reference/auth-service-v2/delete-oauth-provider,Delete Oauth Provider,API Reference,Delete an OAuth provider.
https://docs.langchain.com/api-reference/auth-service-v2/delete-oauth-tokens-for-user,Delete Oauth Tokens For User,API Reference,Delete all tokens for the current user for the given provider (across agents).
https://docs.langchain.com/api-reference/auth-service-v2/delete-single-oauth-token,Delete Single Oauth Token,API Reference,"Delete a specific OAuth token, revoking it at the provider first."
https://docs.langchain.com/api-reference/auth-service-v2/get-oauth-provider,Get Oauth Provider,API Reference,Get a specific OAuth provider.
https://docs.langchain.com/api-reference/auth-service-v2/list-oauth-providers,List Oauth Providers,API Reference,List OAuth providers.
https://docs.langchain.com/api-reference/auth-service-v2/list-oauth-tokens-for-user,List Oauth Tokens For User,API Reference,List the calling user's tokens for a provider.
